Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
285,Enrique Hernández,LAD,NL,148,5,20,0,0.23,0.68,1,0,,P,0.255,0
286,Óscar Hernández,KCR,AL,4,0,0,0,0.5,1,9,7,,P,0.168,
287,Teoscar Hernández,TOR,AL,207,16,34,6,0.289,0.919,35,32,3,OF,0.3,0.4
288,Yadiel Hernández*,WSN,NL,28,1,6,0,0.192,0.637,16,0,,P,0.402,
289,Dilson Herrera,BAL,AL,6,0,0,0,0,0.167,4,0,,P,0.365,-0.4
290,Jason Heyward*,CHC,NL,181,6,22,2,0.265,0.848,57,55,-12,3B,0.205,0
291,Aaron Hicks#,NYY,AL,211,6,21,4,0.225,0.793,14,14,-4,2B-3B-1B-OF,0.47,
292,Kyle Higashioka,NYY,AL,48,4,10,0,0.25,0.771,26,0,,P,0.407,
293,Derek Hill,DET,AL,12,0,0,0,0.091,0.258,24,13,-1,C,0.243,0
294,Tim Hill,SDP,NL,1,0,0,0,0,0,7,6,0,2B,0.305,
295,Sam Hilliard*,COL,NL,114,6,10,3,0.21,0.71,24,0,,P,0.133,
296,Keston Hiura,MIL,NL,246,13,32,3,0.212,0.707,11,10,0,1B,0.325,0.7
297,Nico Hoerner,CHC,NL,126,0,13,3,0.222,0.571,26,24,-3,3B-1B,0.201,0.1
298,Bryan Holaday,BAL,AL,33,0,4,0,0.161,0.406,46,36,-2,OF,0.362,
299,Jonathan Holder,NYY,AL,0,0,0,0,,,46,45,-10,OF,0.383,0
300,Brock Holt*,TOT,NL,106,0,5,1,0.211,0.557,6,0,,P,0.075,-0.3
301,Brock Holt*,MIL,NL,36,0,1,0,0.1,0.322,21,0,,P,0.364,
302,Brock Holt*,WSN,NL,70,0,4,1,0.262,0.668,12,9,-3,1B-2B-3B,0.513,-0.3
303,Rhys Hoskins,PHI,NL,185,10,26,1,0.245,0.887,10,2,-1,2B-3B-SS,0.259,1
304,Eric Hosmer*,SDP,NL,156,9,36,4,0.287,0.851,5,3,0,1B-OF-2B,0.297,0.8
305,Joe Hudson,SEA,AL,20,0,0,0,0.176,0.44,10,10,,P,0.331,0.2
306,Sam Huff,TEX,AL,33,3,4,0,0.355,1.136,24,0,,P,0.379,
307,José Iglesias,BAL,AL,150,3,24,0,0.373,0.956,26,25,-1,3B,0.28,
308,Raisel Iglesias,CIN,NL,0,0,0,0,,,11,0,,P,0.324,0.2
309,Ender Inciarte*,ATL,NL,131,1,10,4,0.19,0.512,3,0,,P,0.308,-0.1
310,Alex Jackson,ATL,NL,7,0,0,0,0.286,0.714,5,3,0,2B,0.299,-0.1
311,Travis Jankowski*,CIN,NL,17,0,0,2,0.067,0.243,44,44,-3,1B-OF-3B,0.345,
312,Danny Jansen,TOR,AL,147,6,20,0,0.183,0.671,11,0,,P,0.274,
313,Jon Jay*,ARI,NL,57,1,4,0,0.16,0.451,21,14,-2,3B-2B-SS,0.315,0.5
314,Ryan Jeffers,MIN,AL,62,3,7,0,0.273,0.791,54,46,-1,OF-2B-SS,0.319,
315,Jeremy Jeffress,CHC,NL,0,0,0,0,,,22,0,,P,0.249,
316,Eloy Jiménez,CHW,AL,226,14,41,0,0.296,0.891,12,11,,P,0.339,-0.4
317,Daniel Johnson*,CLE,AL,13,0,0,0,0.083,0.237,20,10,2,OF,0.414,0.4
318,JaCoby Jones,DET,AL,108,5,14,1,0.268,0.849,4,1,,P,0.383,
319,Jahmai Jones,LAA,AL,7,0,1,0,0.429,0.857,10,10,,P,0.231,-1
320,Taylor Jones,HOU,AL,22,1,3,0,0.19,0.608,7,7,,P,0.338,1
321,Caleb Joseph,TOR,AL,9,1,2,0,0.125,0.722,56,47,-2,OF,0.361,
322,Matt Joyce*,MIA,NL,148,2,14,1,0.252,0.682,29,18,-3,OF,0.375,
323,Aaron Judge,NYY,AL,114,9,22,0,0.257,0.891,41,40,0,OF,0.347,-0.3
324,Trevor Kelley,PHI,NL,0,0,0,0,,,54,54,5,3B-OF-SS-2B,0.286,
325,Carson Kelly,ARI,NL,129,5,19,0,0.221,0.649,5,0,,P,0.204,
326,Matt Kemp,COL,NL,132,6,21,1,0.239,0.745,11,10,,P,0.37,
327,Tony Kemp*,OAK,AL,114,0,4,3,0.247,0.664,3,0,,P,0.316,0.9
328,Howie Kendrick,WSN,NL,100,2,14,0,0.275,0.705,12,0,,P,0.327,-0.7
329,Max Kepler*,MIN,AL,196,9,23,3,0.228,0.76,35,23,-1,OF,0.441,-0.7
330,Carter Kieboom,WSN,NL,122,0,9,0,0.202,0.556,9,9,,P,0.258,1.3
331,Kevin Kiermaier*,TBR,AL,159,3,22,8,0.217,0.683,9,5,,P,0.355,
332,Craig Kimbrel,CHC,NL,0,0,0,0,,,34,20,1,OF,0.175,
333,Isiah Kiner-Falefa,TEX,AL,228,3,10,8,0.28,0.699,50,49,4,3B-2B,0.329,
334,Scott Kingery,PHI,NL,124,3,6,0,0.159,0.511,12,4,,P,0.399,0
335,Jason Kipnis*,CHC,NL,135,3,16,1,0.237,0.744,24,19,3,SS-3B-P,0.251,-0.3
336,Alejandro Kirk,TOR,AL,25,1,3,0,0.375,0.983,2,1,,P,0.305,0.6
337,Andrew Knapp#,PHI,NL,89,2,15,0,0.278,0.849,26,0,,P,0.291,
338,Andrew Knizner,STL,NL,17,0,4,0,0.25,0.548,25,15,0,2B-3B-SS,0.246,
339,Adam Kolarek*,LAD,NL,0,0,0,0,,,4,0,,P,0.734,-0.1
340,Erik Kratz,NYY,AL,30,0,4,0,0.321,0.76,11,11,-2,3B-OF-1B,0.387,-0.4
341,Tommy La Stella*,TOT,AL,228,5,25,1,0.281,0.819,27,2,,P,0.319,
342,Tommy La Stella*,LAA,AL,117,4,14,1,0.273,0.845,25,0,,P,0.218,0.3
343,Tommy La Stella*,OAK,AL,111,1,11,0,0.289,0.792,23,0,,P,0.288,
344,Juan Lagares,NYM,NL,0,0,0,0,,,32,19,4,SS-2B-3B-OF-1B,0.276,
345,Travis Lakins Sr.,BAL,AL,0,0,0,0,,,4,0,,P,0.397,-0.1
346,Jake Lamb*,TOT,MLB,99,3,10,0,0.193,0.635,11,8,,P,0.265,
347,Jake Lamb*,ARI,NL,50,0,1,0,0.116,0.38,3,0,,P,0.347,0.1
348,Jake Lamb*,OAK,AL,49,3,9,0,0.267,0.882,21,1,,P,0.334,
349,Ramón Laureano,OAK,AL,222,6,25,2,0.213,0.704,3,0,,P,0.596,
350,Ryan Lavarnway,MIA,NL,11,0,0,0,0.364,0.727,6,0,,P,0.324,
351,DJ LeMahieu,NYY,AL,216,10,27,3,0.364,1.011,11,11,,P,0.419,0.4
352,Sandy León#,CLE,AL,81,2,4,0,0.136,0.539,25,0,,P,0.317,
353,Kyle Lewis,SEA,AL,242,11,28,5,0.262,0.801,15,11,-6,OF,0.291,
354,Tzu-Wei Lin*,BOS,AL,57,0,3,0,0.154,0.355,9,9,,P,0.344,
355,Francisco Lindor#,CLE,AL,266,8,27,6,0.258,0.75,7,5,,P,0.352,
356,Tim Locastro,ARI,NL,82,2,7,4,0.29,0.859,6,0,,P,0.365,
357,Shed Long Jr.*,SEA,AL,128,3,9,4,0.171,0.533,49,49,-4,SS-2B-3B-OF,0.335,
358,Evan Longoria,SFG,NL,209,7,28,0,0.254,0.722,2,0,,P,0.128,
359,Tim Lopes,SEA,AL,151,2,15,5,0.238,0.642,30,29,-1,2B-1B-3B,0.299,
360,Nicky Lopez*,KCR,AL,192,1,13,0,0.201,0.552,1,1,0,OF,0.256,-0.4
361,Michael Lorenzen,CIN,NL,1,0,0,0,,,25,0,,P,0.322,
362,Brandon Lowe*,TBR,AL,224,14,37,3,0.269,0.916,22,22,-1,C,0.032,
363,Nathaniel Lowe*,TBR,AL,76,4,11,1,0.224,0.749,1,1,,P,0.205,
364,Jonathan Lucroy,BOS,AL,0,0,0,0,,,21,0,,P,0.329,2
365,Dawel Lugo,DET,AL,11,0,1,0,0.2,0.473,13,12,-2,1B,0.249,
366,Jordan Luplow,CLE,AL,92,2,8,0,0.192,0.663,11,9,0,2B-1B-P,0.354,1.3
367,Gavin Lux*,LAD,NL,69,3,8,1,0.175,0.596,23,2,,P,0.317,0
368,Manny Machado,SDP,NL,254,16,47,6,0.304,0.95,27,27,-3,OF,0.313,
369,Vimael Machín*,OAK,AL,71,0,0,0,0.206,0.534,7,7,2,OF,0.319,0.4
370,Nick Madrigal,CHW,AL,109,0,11,2,0.34,0.745,21,20,0,2B-3B-1B,0.21,
371,Martín Maldonado,HOU,AL,165,6,24,1,0.215,0.727,52,52,4,3B-1B,0.264,
372,Rafael Marchán#,PHI,NL,9,1,3,0,0.5,1.431,2,0,,P,0.341,-0.6
373,Manuel Margot,TBR,AL,159,1,11,12,0.269,0.679,54,53,9,2B-OF,0.385,-0.3
374,Jake Marisnick,NYM,NL,34,2,5,0,0.333,0.959,34,34,7,OF,0,0
375,Nick Markakis*,ATL,NL,141,1,15,0,0.254,0.704,45,42,-4,3B-1B-P,0.338,0
376,José Marmolejos*,SEA,AL,115,6,18,0,0.206,0.672,13,13,,P,0.112,0
377,Ketel Marte#,ARI,NL,195,2,17,1,0.287,0.732,58,56,1,1B,0.598,1
378,Starling Marte,TOT,NL,250,6,27,10,0.281,0.77,18,8,-1,3B-OF-SS-2B-1B,0.292,1
379,Starling Marte,ARI,NL,138,2,14,5,0.311,0.827,7,0,,P,0.32,
380,Starling Marte,MIA,NL,112,4,13,5,0.245,0.701,11,11,,P,0.366,0.8
381,Jason Martin*,PIT,NL,11,0,0,0,0,0.182,18,0,,P,0.292,1.8
382,J.D. Martinez,BOS,AL,237,7,27,1,0.213,0.68,22,0,,P,0.105,0.4
383,José Martínez,TOT,MLB,98,2,10,0,0.182,0.561,28,24,4,1B-3B-OF,0.149,
384,José Martínez,TBR,AL,76,2,10,0,0.239,0.717,10,0,,P,0.29,3.3
385,José Martínez,CHC,NL,22,0,0,0,0,0.045,10,10,,P,0.177,-0.1
386,Jorge Mateo,SDP,NL,28,0,2,1,0.154,0.454,13,0,,P,0,
387,Mark Mathias,MIL,NL,36,0,4,1,0.278,0.639,25,19,0,C,0.222,
388,Jeff Mathis,TEX,AL,68,3,9,1,0.161,0.575,16,0,,P,0.189,
389,Wyatt Mathisen,ARI,NL,33,2,5,0,0.222,0.808,12,12,,P,0.246,
390,Cameron Maybin,TOT,MLB,101,1,7,3,0.247,0.694,53,53,12,OF,0.344,0.9
391,Cameron Maybin,DET,AL,45,1,2,0,0.244,0.726,45,42,1,SS-2B,0.361,
392,Cameron Maybin,CHC,NL,56,0,5,3,0.25,0.669,37,31,-4,OF,0,
393,Jack Mayfield,HOU,AL,47,0,3,0,0.19,0.453,17,0,,P,0.291,
394,Nomar Mazara*,CHW,AL,149,1,15,0,0.228,0.589,3,2,1,OF,0.311,0.5
395,Ryan McBroom,KCR,AL,85,6,10,0,0.247,0.789,49,47,-4,OF,0.319,
396,James McCann,CHW,AL,111,7,15,1,0.289,0.896,26,0,,P,0.307,
397,Joe McCarthy*,SFG,NL,10,0,0,0,0,0,6,6,,P,0.381,1.5
398,Andrew McCutchen,PHI,NL,241,10,34,4,0.253,0.757,4,0,,P,0.349,0.2
399,Reese McGuire*,TOR,AL,45,1,1,0,0.073,0.22,19,8,1,2B-3B,0.378,-0.4
400,Billy McKinney*,TOR,AL,3,0,0,0,0.667,1.333,19,0,,P,0.477,
401,Zach McKinstry*,LAD,NL,7,0,0,0,0.286,0.714,16,15,0,SS-2B-OF,0.27,-0.1
402,Ryan McMahon*,COL,NL,193,9,26,0,0.215,0.714,11,2,,P,0.222,-0.3
403,Jeff McNeil*,NYM,NL,209,4,23,0,0.311,0.836,40,36,-12,2B-SS,0.39,
404,Austin Meadows*,TBR,AL,152,4,13,2,0.205,0.667,5,1,,P,0.347,
405,Erick Mejia#,KCR,AL,16,0,0,1,0.071,0.214,12,0,,P,0.312,
406,Francisco Mejía#,SDP,NL,42,1,2,0,0.077,0.322,15,2,,P,0.316,-0.1
407,Mark Melancon,ATL,NL,0,0,0,0,,,14,0,,P,0.369,
408,Danny Mendick,CHW,AL,114,3,6,0,0.243,0.664,48,40,0,OF,0.261,0.7
409,Óscar Mercado,CLE,AL,93,1,6,3,0.128,0.348,10,7,-4,OF,0.2,
410,Yermín Mercedes,CHW,AL,1,0,0,0,0,0,17,13,-3,C,0.365,-0.1
411,Jordy Mercer,TOT,AL,22,0,0,0,0.2,0.473,21,0,,P,0.402,
412,Jordy Mercer,DET,AL,9,0,0,0,0.222,0.444,2,2,,P,0.272,
413,Jordy Mercer,NYY,AL,13,0,0,0,0.182,0.49,23,19,2,C-1B,0.264,
414,Whit Merrifield,KCR,AL,265,9,30,12,0.282,0.764,12,10,,P,0.36,
415,Brad Miller*,STL,NL,171,7,25,1,0.232,0.807,4,0,,P,0.287,0.7
416,Ian Miller*,CHC,NL,0,0,0,0,,,1,0,,P,0.347,-0.4
417,Alec Mills,CHC,NL,1,0,0,0,0,0,17,0,,P,0.252,-0.2
418,Yadier Molina,STL,NL,156,4,16,0,0.262,0.662,14,0,,P,0.268,
419,Yoán Moncada#,CHW,AL,231,6,24,0,0.225,0.705,12,12,,P,0.384,
420,Adalberto Mondesí#,KCR,AL,233,6,22,24,0.256,0.71,4,0,,P,0.383,0
421,Mickey Moniak*,PHI,NL,18,0,0,0,0.214,0.603,2,0,,P,0.225,
422,Dylan Moore,SEA,AL,159,8,17,12,0.255,0.855,45,29,-2,SS-2B-3B,0.363,
423,Colin Moran*,PIT,NL,200,10,23,0,0.247,0.797,19,0,,P,0.39,
424,Mitch Moreland*,TOT,MLB,152,10,29,0,0.265,0.894,12,12,,P,0.324,
425,Mitch Moreland*,BOS,AL,79,8,21,0,0.328,1.177,22,0,,P,0.326,
426,Mitch Moreland*,SDP,NL,73,2,8,0,0.203,0.609,11,11,,P,0.327,
427,Logan Morrison*,MIL,NL,28,1,2,0,0.12,0.494,8,7,,P,0.521,
428,Ryan Mountcastle,BAL,AL,140,5,23,0,0.333,0.878,5,2,1,3B-SS-2B,0.352,
429,Mike Moustakas*,CIN,NL,163,8,27,1,0.23,0.799,52,52,4,1B,0.474,1
430,Cedric Mullins*,BAL,AL,153,3,12,7,0.271,0.723,14,4,,P,0.27,
431,Max Muncy*,LAD,NL,248,12,27,1,0.192,0.72,30,30,0,C,0.283,
432,Yairo Muñoz,BOS,AL,45,1,4,2,0.333,0.844,9,8,,P,0.209,
433,Daniel Murphy*,COL,NL,132,3,16,0,0.236,0.608,11,11,,P,0.266,
434,John Ryan Murphy,PIT,NL,63,0,2,0,0.172,0.433,6,4,,P,0.301,
435,Sean Murphy,OAK,AL,140,7,14,0,0.233,0.821,49,47,-1,SS-3B,0.172,-0.1
436,Wil Myers,SDP,NL,218,15,40,2,0.288,0.959,12,4,,P,0.262,2.1
437,Tyler Naquin*,CLE,AL,141,4,20,0,0.218,0.632,2,0,0,OF,0.214,
438,Omar Narváez*,MIL,NL,126,2,10,0,0.176,0.562,53,51,-4,3B-2B-1B-OF,0.29,0.8
439,Brian Navarreto,MIA,NL,5,0,0,0,0.4,0.8,15,1,,P,0.331,0
440,Josh Naylor*,TOT,MLB,104,1,6,1,0.247,0.621,41,41,5,SS-2B,0.476,
441,Josh Naylor*,SDP,NL,38,1,4,1,0.278,0.732,46,41,-9,OF,0,
442,Josh Naylor*,CLE,AL,66,0,2,0,0.23,0.556,17,1,,P,0.278,0.1
443,Hector Neris,PHI,NL,0,0,0,0,,,49,48,9,OF,0.332,
444,Kevin Newman,PIT,NL,172,1,10,0,0.224,0.556,1,0,0,OF,0.444,0
445,Tomás Nido,NYM,NL,26,2,6,0,0.292,0.929,25,18,-3,OF-1B-2B-3B,0.225,0.2
446,Brandon Nimmo*,NYM,NL,225,8,18,1,0.28,0.888,15,0,,P,0.297,
447,John Nogowski,STL,NL,4,0,0,0,0.25,0.5,4,0,,P,0.255,0.1
448,Aaron Nola,PHI,NL,0,0,0,0,,,3,0,,P,0.234,-0.4
449,Austin Nola,TOT,MLB,184,7,28,0,0.273,0.825,38,38,3,C-1B,0.305,
450,Austin Nola,SEA,AL,110,5,19,0,0.306,0.903,23,2,,P,0.181,0.1
451,Austin Nola,SDP,NL,74,2,9,0,0.222,0.705,11,2,,P,0.334,0
452,Jake Noll,WSN,NL,17,0,0,0,0.353,0.765,8,8,,P,0.283,0
453,Jacob Nottingham,MIL,NL,54,4,13,0,0.188,0.736,11,11,,P,0.15,
454,Eduardo Núñez,NYM,NL,2,0,0,1,0.5,1,22,0,,P,0.218,
455,Renato Núñez,BAL,AL,216,12,31,0,0.256,0.816,28,0,,P,0.262,
456,Brian O'Grady*,TBR,AL,5,0,0,1,0.4,1,59,56,4,SS,0.425,0.9
457,Ryan O'Hearn*,KCR,AL,132,2,18,0,0.195,0.604,18,16,0,C,0.346,
458,Tyler O'Neill,STL,NL,157,7,19,3,0.173,0.621,12,12,,P,0.294,
459,Joseph Odom,SEA,AL,44,0,2,0,0.128,0.338,48,47,-2,OF,0.239,
460,Rougned Odor*,TEX,AL,148,10,30,0,0.167,0.623,1,0,,P,0.335,
461,Shohei Ohtani*,LAA,AL,175,7,24,7,0.19,0.657,4,0,,P,0.327,0
462,Jared Oliva,PIT,NL,16,0,0,1,0.188,0.375,59,57,8,OF,0.345,
463,Edward Olivares,TOT,MLB,101,3,10,0,0.24,0.642,47,45,3,OF,0.35,1.2
464,Edward Olivares,SDP,NL,36,1,3,0,0.176,0.516,5,0,,P,0.351,-0.2
465,Edward Olivares,KCR,AL,65,2,7,0,0.274,0.712,1,1,0,C,0.349,
466,Matt Olson*,OAK,AL,245,14,42,1,0.195,0.734,6,4,,P,0.33,0.4
467,Jorge Oña,SDP,NL,15,1,2,0,0.25,0.983,9,0,,P,0.299,
468,Nate Orf,OAK,AL,7,0,0,0,0,0,14,0,,P,0.278,
469,José Osuna,PIT,NL,82,4,11,0,0.205,0.641,14,0,,P,0.385,2.5
470,Chris Owings,COL,NL,44,2,5,1,0.268,0.757,25,0,,P,0.233,1.1
471,Marcell Ozuna,ATL,NL,267,18,56,0,0.338,1.067,34,34,-2,1B,0.292,
472,Cristian Pache,ATL,NL,4,0,0,0,0.25,0.5,8,0,,P,0.364,-0.1
473,Emilio Pagán*,SDP,NL,0,0,0,0,,,23,15,3,2B-3B-SS-P,0.344,
474,Joe Panik*,TOR,AL,141,1,7,0,0.225,0.64,54,49,12,OF-1B,0.409,
475,Isaac Paredes,DET,AL,108,1,6,0,0.22,0.568,55,54,6,1B,0.283,
476,Blake Parker,PHI,NL,0,0,0,0,,,3,3,0,3B,0.289,
477,Mark Payton*,CIN,NL,20,0,0,1,0.167,0.472,1,0,,P,0.181,
478,Joc Pederson*,LAD,NL,138,7,16,1,0.19,0.681,24,23,-1,1B,0.426,0.6
479,Hunter Pence,SFG,NL,56,2,6,0,0.096,0.411,40,34,2,1B-3B-P,0.299,
480,David Peralta*,ARI,NL,218,5,34,1,0.3,0.773,7,5,-1,C,0.232,0.7
481,José Peraza,BOS,AL,120,1,8,1,0.225,0.617,21,0,,P,0.364,1.1
482,Hernán Pérez,CHC,NL,6,0,0,0,0.167,0.333,12,12,2,OF-3B,0.306,-0.1
483,Michael Perez*,TBR,AL,93,1,13,0,0.167,0.475,18,0,,P,0.228,-0.1
484,Roberto Pérez,CLE,AL,110,1,5,0,0.165,0.48,11,2,,P,0.399,
485,Salvador Perez,KCR,AL,156,11,32,1,0.333,0.986,4,1,,P,0.307,0.5
486,Jace Peterson*,MIL,NL,61,2,5,1,0.2,0.749,1,1,,P,0.235,0.7
487,Tommy Pham,SDP,NL,125,3,12,6,0.211,0.624,25,6,2,OF,0.344,-0.1
488,Josh Phegley,CHC,NL,18,1,2,0,0.063,0.417,4,0,,P,0.324,0
489,David Phelps,TOT,NL,0,0,0,0,,,49,43,0,2B-OF-SS,0.279,0.2
490,David Phelps,MIL,NL,0,0,0,0,,,23,0,,P,0,
491,Brett Phillips*,TOT,AL,59,2,5,6,0.196,0.697,56,53,-4,OF-1B,0.117,
492,Brett Phillips*,KCR,AL,34,1,2,3,0.226,0.681,9,9,,P,0.204,
493,Brett Phillips*,TBR,AL,25,1,3,3,0.15,0.72,48,48,-6,OF,0.311,
494,Kevin Pillar,TOT,MLB,223,6,26,5,0.288,0.798,23,0,,P,0.394,0
495,Kevin Pillar,BOS,AL,126,4,13,1,0.274,0.795,20,0,,P,0.225,
496,Kevin Pillar,COL,NL,97,2,13,4,0.308,0.801,26,19,2,2B-3B-OF-1B,0.227,0.2
497,Manny Piña,MIL,NL,45,2,5,0,0.231,0.744,28,12,5,OF,0.344,
498,Chad Pinder,OAK,AL,61,2,8,0,0.232,0.688,4,3,,P,0.322,1.4
499,Stephen Piscotty,OAK,AL,171,5,29,4,0.226,0.629,21,0,,P,0.347,
500,Kevin Plawecki,BOS,AL,89,1,17,1,0.341,0.857,10,0,,P,0.278,2
501,Adam Plutko,CLE,AL,0,0,0,0,,,4,0,,P,0.102,
502,Gregory Polanco*,PIT,NL,174,7,22,3,0.153,0.539,7,4,,P,0.124,
503,Jorge Polanco#,MIN,AL,226,4,19,4,0.258,0.658,39,23,-4,OF,0.217,0.5
504,AJ Pollock,LAD,NL,210,16,34,2,0.276,0.881,17,1,,P,0.383,-0.2
505,Jurickson Profar#,SDP,NL,202,7,25,7,0.278,0.771,24,24,4,3B,0.309,
506,César Puello,BOS,AL,11,0,0,0,0.375,0.875,33,31,4,OF,0.267,
507,Albert Pujols,LAA,AL,163,6,25,0,0.224,0.665,2,1,0,1B,0.409,
508,Roman Quinn#,PHI,NL,116,2,7,12,0.213,0.576,12,12,,P,0.284,
509,Harold Ramírez,MIA,NL,11,0,1,0,0.2,0.473,14,0,,P,0.342,
510,José Ramírez#,CLE,AL,254,17,46,10,0.292,0.993,7,4,1,OF,0.4,0
511,Wilson Ramos,NYM,NL,155,5,15,0,0.239,0.684,23,14,0,2B-3B-SS,0.358,
512,Rangel Ravelo,STL,NL,41,1,6,0,0.171,0.53,34,22,2,C,0.308,1.9
513,J.T. Realmuto,PHI,NL,195,11,32,4,0.266,0.84,12,12,2,C,0.16,0.8
514,Josh Reddick*,HOU,AL,210,4,23,1,0.245,0.693,22,14,2,OF-1B,0.271,-0.1
515,Rob Refsnyder,TEX,AL,34,0,1,0,0.2,0.498,15,13,1,C-P,0.14,
516,Anthony Rendon,LAA,AL,232,9,31,0,0.286,0.915,6,0,,P,0.48,
517,Hunter Renfroe,TBR,AL,139,8,22,2,0.156,0.645,12,0,,P,0.261,0.1
518,Luis Rengifo#,LAA,AL,106,1,3,3,0.156,0.469,22,0,,P,0.257,-0.2
519,Franmil Reyes,CLE,AL,241,9,34,0,0.275,0.795,12,12,,P,0.352,-0.2
520,Victor Reyes#,DET,AL,213,4,14,8,0.277,0.706,24,0,,P,0.317,0.1
521,Bryan Reynolds#,PIT,NL,208,7,19,1,0.189,0.632,14,10,0,OF,0.32,-0.3
522,Matt Reynolds,KCR,AL,11,0,0,0,0,0,20,1,,P,0.238,0.1
523,Joey Rickard,SFG,NL,6,0,0,0,0,0.167,6,2,1,OF,0.271,
524,JT Riddle*,PIT,NL,69,1,1,1,0.149,0.398,5,3,,P,0.368,
525,Austin Riley,ATL,NL,206,8,27,0,0.239,0.716,58,57,4,2B,0,
526,Edwin Rios*,LAD,NL,83,8,17,0,0.25,0.946,7,0,,P,0.359,0
527,René Rivera,NYM,NL,4,0,0,0,0.25,0.5,6,6,,P,0.221,
528,Yadiel Rivera,TEX,AL,5,0,0,1,0,0,46,32,7,2B-OF-SS-1B,0.316,0.2
529,Anthony Rizzo*,CHC,NL,243,11,24,3,0.222,0.755,27,0,,P,0.402,
530,Luis Robert Jr.,CHW,AL,227,11,31,9,0.233,0.738,3,1,0,C,0.343,0
531,Daniel Robertson,SFG,NL,24,0,2,0,0.333,0.75,46,43,-2,OF,0.336,
532,Victor Robles,WSN,NL,189,3,15,4,0.22,0.608,1,1,0,OF,0.309,1.8
533,Brendan Rodgers,COL,NL,21,0,2,0,0.095,0.238,3,1,0,1B-OF,0.259,
534,Sean Rodríguez,MIA,NL,13,0,0,0,0.154,0.308,2,0,,P,0.328,
535,Josh Rojas*,ARI,NL,70,0,2,1,0.18,0.437,3,0,,P,0.31,1.1
536,Miguel Rojas,MIA,NL,143,4,20,5,0.304,0.888,21,0,,P,0.331,
537,Andrew Romine#,TEX,AL,4,0,0,0,0.25,0.75,50,49,9,OF,0.336,0
538,Austin Romine,DET,AL,135,2,17,0,0.238,0.582,50,48,2,OF,0.337,1.4
539,Brent Rooker,MIN,AL,21,1,5,0,0.316,0.96,14,13,1,C,0.407,-0.1
540,Amed Rosario,NYM,NL,147,4,15,0,0.252,0.643,18,0,,P,0.411,0
541,Eddie Rosario*,MIN,AL,231,13,42,3,0.257,0.792,10,1,-1,OF,0.29,
542,Trevor Rosenthal,TOT,MLB,0,0,0,0,,,8,8,,P,0.362,
543,Trevor Rosenthal,KCR,AL,0,0,0,0,,,23,0,,P,0.184,
544,Trevor Rosenthal,SDP,NL,0,0,0,0,,,34,27,4,OF,0.322,1.5
545,Darin Ruf,SFG,NL,100,5,18,1,0.276,0.887,13,0,,P,0.41,0.7
546,José Ruiz,CHW,AL,0,0,0,0,,,49,49,-2,2B,0.272,0.4
547,Keibert Ruiz#,LAD,NL,8,1,1,0,0.25,0.875,46,33,2,2B-SS-3B-OF,0.285,
548,Rio Ruiz*,BAL,AL,204,9,32,1,0.222,0.713,16,0,,P,0,-0.2
549,Ali Sánchez,NYM,NL,10,0,0,0,0.111,0.311,15,7,2,C-1B-P,0.256,
550,Gary Sánchez,NYY,AL,178,10,24,0,0.147,0.618,18,0,,P,0.304,0
551,Jesús Sánchez*,MIA,NL,29,0,2,0,0.04,0.252,12,5,,P,0.371,0.2
552,Yolmer Sanchez#,CHW,AL,21,1,1,0,0.313,1.164,28,0,,P,0.338,
553,Pablo Sandoval#,TOT,NL,94,1,6,0,0.214,0.549,1,0,,P,0.405,-0.4
554,Pablo Sandoval#,SFG,NL,90,1,6,0,0.22,0.546,1,0,,P,0.494,0.7
555,Pablo Sandoval#,ATL,NL,4,0,0,0,0,0.5,32,25,2,3B-OF-1B-P,0.267,
556,Miguel Sanó,MIN,AL,205,13,25,0,0.204,0.757,40,40,-6,1B,0.387,-0.3
557,Carlos Santana#,CLE,AL,255,8,30,0,0.199,0.699,32,32,0,1B,0.317,0
558,Danny Santana#,TEX,AL,63,1,7,2,0.145,0.511,3,3,,P,0.387,
559,Domingo Santana,CLE,AL,84,2,12,0,0.157,0.583,12,11,,P,0.219,
560,Anthony Santander#,BAL,AL,165,11,32,0,0.261,0.89,22,0,,P,0.371,
561,Scott Schebler*,ATL,NL,1,0,0,0,0,0,6,6,,P,0.438,
562,Jonathan Schoop,DET,AL,177,8,23,0,0.278,0.799,24,0,,P,0.495,-0.5
563,Max Schrock*,STL,NL,17,1,1,0,0.176,0.529,8,8,,P,0.23,0.9
564,Kyle Schwarber*,CHC,NL,224,11,24,1,0.188,0.701,21,0,,P,0.36,1.2
565,Corey Seager*,LAD,NL,232,15,41,1,0.307,0.943,9,6,-1,C,0.384,
566,Kyle Seager*,SEA,AL,248,9,40,5,0.241,0.788,10,9,-1,C,0.231,
567,Jean Segura,PHI,NL,217,7,25,2,0.266,0.769,18,0,,P,0.237,
568,Marcus Semien,OAK,AL,236,7,23,4,0.223,0.679,24,0,,P,0.043,
569,Nick Senzel,CIN,NL,78,2,8,2,0.186,0.604,24,22,1,SS,0.346,
570,Pedro Severino,BAL,AL,178,5,21,1,0.25,0.71,22,0,,P,0.352,
571,Travis Shaw*,TOR,AL,180,6,17,0,0.239,0.717,46,30,-3,OF,0.337,
